create_time,open,high,low,close,volume,code,spider_time,time_key
2020-04-20 13:42:00,5.451,5.451,5.451,5.451,0,OKEX.ETC-USDC-SPOT,2020-04-20 17:02:02,1587390120
2020-04-20 13:42:00,1.1195,1.1195,1.1195,1.1195,0,OKEX.LEO-USDK-SPOT,2020-04-20 17:01:57,1587390120
2020-04-20 13:42:00,0.03437,0.03437,0.03433,0.03435,1867.379,OKEX.ROAD-USDK-SPOT,2020-04-20 17:02:03,1587390120
2020-04-20 13:42:00,0.00065,0.00065,0.00065,0.00065,0,OKEX.PLG-USDK-SPOT,2020-04-20 17:01:57,1587390120
2020-04-20 13:42:00,0.0507,0.0507,0.0507,0.0507,0,OKEX.CRO-USDK-SPOT,2020-04-20 17:01:57,1587390120
2020-04-20 13:42:00,0.00043,0.00043,0.00043,0.00043,0,OKEX.PLG-USDT-SPOT,2020-04-20 17:01:57,1587390120
2020-04-20 13:42:00,0.001985,0.001985,0.001985,0.001985,0,OKEX.DOGE-USDT-SPOT,2020-04-20 17:01:59,1587390120
2020-04-20 13:42:00,189.72,189.72,189.72,189.72,0,OKEX.BSV-USDC-SPOT,2020-04-20 17:02:01,1587390120
2020-04-20 13:42:00,0.1724,0.1724,0.1724,0.1724,51.6836,OKEX.OXT-USDT-SPOT,2020-04-20 17:02:02,1587390120
2020-04-20 13:43:00,0.1055,0.1055,0.1055,0.1055,0,OKEX.FSN-USDT-SPOT,2020-04-20 17:01:57,1587390180
2020-04-20 13:43:00,0.00043,0.00043,0.00043,0.00043,0,OKEX.PLG-USDT-SPOT,2020-04-20 17:01:57,1587390180
2020-04-20 13:43:00,0.00000339,0.00000339,0.00000339,0.00000339,0,OKEX.VSYS-BTC-SPOT,2020-04-20 17:01:59,1587390180
2020-04-20 13:43:00,0.00002327,0.00002336,0.00002327,0.00002331,3727,OKEX.BAT-BTC-SPOT,2020-04-20 17:02:03,1587390180
2020-04-20 13:43:00,0.001026,0.001027,0.001021,0.001022,1263.6,OKEX.ALGO-ETH-SPOT,2020-04-20 17:02:00,1587390180
2020-04-20 13:43:00,0.0507,0.0507,0.0507,0.0507,0,OKEX.CRO-USDK-SPOT,2020-04-20 17:01:57,1587390180
2020-04-20 13:43:00,5.451,5.451,5.451,5.451,0,OKEX.ETC-USDC-SPOT,2020-04-20 17:02:02,1587390180
2020-04-20 13:43:00,0.001985,0.001985,0.001985,0.001985,0,OKEX.DOGE-USDT-SPOT,2020-04-20 17:01:59,1587390180
2020-04-20 13:43:00,0.0000261,0.0000261,0.0000261,0.0000261,294.1,OKEX.ALGO-BTC-SPOT,2020-04-20 17:01:59,1587390180
2020-04-20 13:43:00,0.1724,0.1724,0.1724,0.1724,0,OKEX.OXT-USDT-SPOT,2020-04-20 17:02:02,1587390180
2020-04-20 13:44:00,0.0507,0.0507,0.0507,0.0507,0,OKEX.CRO-USDK-SPOT,2020-04-20 17:01:57,1587390240
2020-04-20 13:44:00,0.00479,0.00479,0.00479,0.00479,593722.54,OKEX.EC-USDT-SPOT,2020-04-20 17:01:59,1587390240
2020-04-20 13:44:00,0.00994,0.00994,0.00994,0.00994,0,OKEX.WXT-USDK-SPOT,2020-04-20 17:01:57,1587390240
2020-04-20 13:44:00,0.1724,0.1724,0.1724,0.1724,0,OKEX.OXT-USDT-SPOT,2020-04-20 17:02:02,1587390240
2020-04-20 13:44:00,0.03438,0.03438,0.03429,0.03429,3853.071,OKEX.ROAD-USDK-SPOT,2020-04-20 17:02:03,1587390240
2020-04-20 13:44:00,0.1059,0.1059,0.1059,0.1059,0,OKEX.FSN-USDK-SPOT,2020-04-20 17:01:57,1587390240
2020-04-20 13:44:00,0.0031,0.0031,0.0031,0.0031,0,OKEX.FTM-USDT-SPOT,2020-04-20 17:01:59,1587390240
2020-04-20 13:44:00,0.1055,0.1055,0.1055,0.1055,0,OKEX.FSN-USDT-SPOT,2020-04-20 17:01:57,1587390240
2020-04-20 13:44:00,0.0001184,0.0001184,0.0001184,0.0001184,5069472,OKEX.PMA-USDK-SPOT,2020-04-20 17:02:00,1587390240
2020-04-20 13:44:00,0.00065,0.00065,0.00065,0.00065,0,OKEX.PLG-USDK-SPOT,2020-04-20 17:01:57,1587390240
2020-04-20 13:44:00,5.451,5.451,5.451,5.451,0,OKEX.ETC-USDC-SPOT,2020-04-20 17:02:02,1587390240
2020-04-20 13:44:00,228.87,228.87,228.87,228.87,0,OKEX.BCH-USDC-SPOT,2020-04-20 17:02:01,1587390240
2020-04-20 13:45:00,5.451,5.451,5.451,5.451,0,OKEX.ETC-USDC-SPOT,2020-04-20 17:02:02,1587390300
2020-04-20 13:45:00,0.0507,0.0507,0.0507,0.0507,0,OKEX.CRO-USDK-SPOT,2020-04-20 17:01:57,1587390300
2020-04-20 13:45:00,0.00002334,0.00002337,0.00002325,0.00002329,4292,OKEX.BAT-BTC-SPOT,2020-04-20 17:02:03,1587390300
2020-04-20 13:45:00,0.1059,0.1059,0.1059,0.1059,0,OKEX.FSN-USDK-SPOT,2020-04-20 17:01:57,1587390300
2020-04-20 13:45:00,0.00043,0.00043,0.00043,0.00043,0,OKEX.PLG-USDT-SPOT,2020-04-20 17:01:57,1587390300
2020-04-20 13:45:00,189.72,189.72,189.72,189.72,0,OKEX.BSV-USDC-SPOT,2020-04-20 17:02:01,1587390300
2020-04-20 13:45:00,0.00065,0.00065,0.00065,0.00065,0,OKEX.PLG-USDK-SPOT,2020-04-20 17:01:57,1587390300
2020-04-20 13:45:00,0.001985,0.001985,0.001985,0.001985,0,OKEX.DOGE-USDT-SPOT,2020-04-20 17:01:59,1587390300
2020-04-20 13:45:00,228.87,228.87,228.87,228.87,0,OKEX.BCH-USDC-SPOT,2020-04-20 17:02:01,1587390300
2020-04-20 13:45:00,0.1718,0.1718,0.1715,0.1715,4121.1547,OKEX.OXT-USDT-SPOT,2020-04-20 17:02:02,1587390300
2020-04-20 13:45:00,1.1195,1.1195,1.1195,1.1195,0,OKEX.LEO-USDK-SPOT,2020-04-20 17:01:57,1587390300
2020-04-20 13:45:00,0.00479,0.00479,0.00479,0.00479,126988.96,OKEX.EC-USDT-SPOT,2020-04-20 17:01:59,1587390300
2020-04-20 13:46:00,0.008873,0.008873,0.008873,0.008873,0,OKEX.ORBS-USDT-SPOT,2020-04-20 17:02:00,1587390360
2020-04-20 13:46:00,0.00994,0.00994,0.00994,0.00994,0,OKEX.WXT-USDK-SPOT,2020-04-20 17:01:57,1587390360
2020-04-20 13:46:00,1.1195,1.1195,1.1195,1.1195,0,OKEX.LEO-USDK-SPOT,2020-04-20 17:01:57,1587390360
2020-04-20 13:46:00,0.00002328,0.00002337,0.00002328,0.00002337,5234,OKEX.BAT-BTC-SPOT,2020-04-20 17:02:03,1587390360
2020-04-20 13:46:00,0.00989,0.00992,0.00989,0.00991,65681.95,OKEX.WXT-USDT-SPOT,2020-04-20 17:01:57,1587390360
2020-04-20 13:46:00,0.0000261,0.0000262,0.0000261,0.0000261,8684.0758,OKEX.ALGO-BTC-SPOT,2020-04-20 17:01:59,1587390360
2020-04-20 13:46:00,0.001985,0.001985,0.001985,0.001985,0,OKEX.DOGE-USDT-SPOT,2020-04-20 17:01:59,1587390360
2020-04-20 13:46:00,0.0241,0.0241,0.0241,0.0241,0,OKEX.VSYS-USDK-SPOT,2020-04-20 17:01:58,1587390360
2020-04-20 13:46:00,0.001024,0.00103,0.001018,0.001023,2164.8,OKEX.ALGO-ETH-SPOT,2020-04-20 17:02:00,1587390360
2020-04-20 13:46:00,0.195,0.195,0.195,0.195,0,OKEX.ALGO-USDK-SPOT,2020-04-20 17:01:58,1587390360
2020-04-20 13:47:00,4.606,4.606,4.606,4.606,0,OKEX.OKB-USDC-SPOT,2020-04-20 17:02:02,1587390420
2020-04-20 13:47:00,0.0001184,0.0001184,0.0001184,0.0001184,0,OKEX.PMA-USDK-SPOT,2020-04-20 17:02:00,1587390420
2020-04-20 13:47:00,0.0032,0.0032,0.0032,0.0032,0,OKEX.FTM-USDK-SPOT,2020-04-20 17:02:00,1587390420
2020-04-20 13:47:00,228.87,228.87,228.87,228.87,0,OKEX.BCH-USDC-SPOT,2020-04-20 17:02:01,1587390420
2020-04-20 13:47:00,0.1059,0.1059,0.1059,0.1059,0,OKEX.FSN-USDK-SPOT,2020-04-20 17:01:57,1587390420
2020-04-20 13:47:00,0.008873,0.008873,0.008873,0.008873,0,OKEX.ORBS-USDT-SPOT,2020-04-20 17:02:00,1587390420
2020-04-20 13:47:00,189.72,189.72,189.72,189.72,0,OKEX.BSV-USDC-SPOT,2020-04-20 17:02:01,1587390420
